"","symptom","domain","group","estimate","lower_95_percent_confidence_limit","upper_95_percent_confidence_limit"
"74","Cough","Employment sector","Hospitality (e.g. hotel, restaurant)",32,22.84,41.16
"75","Cough","Employment sector","Information technology and communication",27.42,21.07,33.77
"76","Cough","Employment sector","Manufacturing or construction",33.13,28.07,38.19
"77","Cough","Employment sector","Not currently working",38.2,35.65,40.75
"78","Cough","Employment sector","Other occupation sector",29.38,25.39,33.36
"79","Cough","Employment sector","Personal services (e.g. hairdressers)",27.27,14.11,40.43
"80","Cough","Employment sector","Retail sector (including wholesale)",30.84,25.67,36.01
"81","Cough","Employment sector","Social care",31.48,24.33,38.63
"82","Cough","Employment sector","Teaching and education",27.3,23.67,30.93
"83","Cough","Employment sector","Transport (including storage, logistic)",28.92,22.04,35.8
"84","Cough","Employment sector","Unknown",37.28,34.43,40.13
"85","Diarrhoea","All people","All people",9.04,8.32,9.76
"86","Diarrhoea","Employment status","Employed",8.34,7.38,9.3
"87","Diarrhoea","Employment status","Inactive - not looking",16.91,14.13,19.68
"88","Diarrhoea","Employment status","Inactive - retired",7.55,6.4,8.7
"89","Diarrhoea","Self-employment status","Employee",8.6,7.56,9.65
"90","Diarrhoea","Self-employment status","Self-employed",6.71,4.4,9.02
"91","Diarrhoea","Self-employment status","Not in employment",9.8,8.71,10.89
"92","Diarrhoea","Employment sector","Civil service or Local Government",9.52,6.48,12.57
"93","Diarrhoea","Employment sector","Financial services (including insurance)",7.98,4.34,11.62
"94","Diarrhoea","Employment sector","Health care",11.11,8.23,13.99
"95","Diarrhoea","Employment sector","Hospitality (e.g. hotel, restaurant)",12,5.64,18.36
"96","Diarrhoea","Employment sector","Information technology and communication",8.06,4.15,11.98
"97","Diarrhoea","Employment sector","Manufacturing or construction",5.21,2.8,7.63
"98","Diarrhoea","Employment sector","Not currently working",9.27,7.77,10.77
"99","Diarrhoea","Employment sector","Other occupation sector",8.56,6.14,10.99
"100","Diarrhoea","Employment sector","Retail sector (including wholesale)",11.36,7.82,14.91
"101","Diarrhoea","Employment sector","Social care",11.73,6.77,16.68
"102","Diarrhoea","Employment sector","Teaching and education",6.48,4.5,8.47
"103","Diarrhoea","Employment sector","Transport (including storage, logistic)",9.64,5.14,14.14
"104","Diarrhoea","Employment sector","Unknown",9.47,7.74,11.2
"105","Difficulty concentrating","All people","All people",37.26,36.04,38.49
"106","Difficulty concentrating","Employment status","Employed",39.91,38.2,41.61
"107","Difficulty concentrating","Employment status","Unemployed",44.62,32.53,56.7
"108","Difficulty concentrating","Employment status","Inactive - not looking",52.75,49.01,56.49
"109","Difficulty concentrating","Employment status","Inactive - retired",27.62,25.67,29.56
"110","Difficulty concentrating","Employment status","Inactive - student",44.3,33.49,55.11
"111","Difficulty concentrating","Self-employment status","Employee",40.83,38.99,42.68
"112","Difficulty concentrating","Self-employment status","Self-employed",34.23,29.8,38.66
"113","Difficulty concentrating","Self-employment status","Not in employment",34.38,32.64,36.12
"114","Difficulty concentrating","Employment sector","Arts, Entertainment or Recreation",48.86,38.41,59.32
"115","Difficulty concentrating","Employment sector","Civil service or Local Government",47.06,41.85,52.27
"116","Difficulty concentrating","Employment sector","Financial services (including insurance)",34.27,27.89,40.65
"117","Difficulty concentrating","Employment sector","Food production, agriculture, farming",39.13,24.56,53.7
"118","Difficulty concentrating","Employment sector","Health care",42.48,37.97,47
"119","Difficulty concentrating","Employment sector","Hospitality (e.g. hotel, restaurant)",37,27.54,46.46
"120","Difficulty concentrating","Employment sector","Information technology and communication",37.1,30.07,44.12
"121","Difficulty concentrating","Employment sector","Manufacturing or construction",33.44,28.23,38.64
"122","Difficulty concentrating","Employment sector","Not currently working",30.62,28.16,33.07
"123","Difficulty concentrating","Employment sector","Other occupation sector",35.41,31.28,39.54
"124","Difficulty concentrating","Employment sector","Personal services (e.g. hairdressers)",34.09,20.09,48.09
"125","Difficulty concentrating","Employment sector","Retail sector (including wholesale)",38.64,33.12,44.15
"126","Difficulty concentrating","Employment sector","Social care",48.15,40.45,55.84
"127","Difficulty concentrating","Employment sector","Teaching and education",42.15,38.16,46.14
"128","Difficulty concentrating","Employment sector","Transport (including storage, logistic)",42.17,34.74,49.6
"129","Difficulty concentrating","Employment sector","Unknown",36.93,34.11,39.75
"130","Ear pain","All people","All people",8.19,7.5,8.88
"131","Ear pain","Employment status","Employed",7.49,6.57,8.41
"132","Ear pain","Employment status","Inactive - not looking",13.87,11.27,16.48
"133","Ear pain","Employment status","Inactive - retired",7.07,5.97,8.17
"134","Ear pain","Self-employment status","Employee",7.55,6.55,8.54
"135","Ear pain","Self-employment status","Self-employed",7.16,4.77,9.55
"136","Ear pain","Self-employment status","Not in employment",8.95,7.91,9.98
"137","Ear pain","Employment sector","Civil service or Local Government",8.96,6.01,11.91
"138","Ear pain","Employment sector","Health care",9.15,6.51,11.79
"139","Ear pain","Employment sector","Information technology and communication",6.45,2.91,9.99
"140","Ear pain","Employment sector","Manufacturing or construction",6.44,3.79,9.09
"141","Ear pain","Employment sector","Not currently working",9.48,7.95,11.01
"142","Ear pain","Employment sector","Other occupation sector",5.64,3.64,7.64
"143","Ear pain","Employment sector","Retail sector (including wholesale)",10.06,6.69,13.44
"144","Ear pain","Employment sector","Social care",10.49,5.78,15.21
"145","Ear pain","Employment sector","Teaching and education",7,4.93,9.06
"146","Ear pain","Employment sector","Unknown",8.42,6.8,10.04
"147","Eyesight","All people","All people",22.39,21.34,23.44
"148","Eyesight","Employment status","Employed",20.69,19.29,22.09
"149","Eyesight","Employment status","Unemployed",24.62,14.13,35.1
"150","Eyesight","Employment status","Inactive - not looking",34.54,31,38.07
"151","Eyesight","Employment status","Inactive - retired",21.26,19.48,23.04
"152","Eyesight","Employment status","Inactive - student",12.66,5.31,20.01
"153","Eyesight","Self-employment status","Employee",21.04,19.51,22.56
"154","Eyesight","Self-employment status","Self-employed",18.57,14.99,22.15
"155","Eyesight","Self-employment status","Not in employment",24.24,22.67,25.81
"156","Eyesight","Employment sector","Arts, Entertainment or Recreation",23.86,14.95,32.77
"157","Eyesight","Employment sector","Civil service or Local Government",21.29,17.06,25.52
"158","Eyesight","Employment sector","Financial services (including insurance)",22.07,16.51,27.62
"159","Eyesight","Employment sector","Health care",26.58,22.53,30.63
"160","Eyesight","Employment sector","Hospitality (e.g. hotel, restaurant)",20,12.16,27.84
"161","Eyesight","Employment sector","Information technology and communication",19.35,13.71,25
"162","Eyesight","Employment sector","Manufacturing or construction",19.33,15.06,23.6
"163","Eyesight","Employment sector","Not currently working",24.09,21.84,26.33
"164","Eyesight","Employment sector","Other occupation sector",18.09,14.78,21.41
"165","Eyesight","Employment sector","Retail sector (including wholesale)",23.38,18.67,28.08
"166","Eyesight","Employment sector","Social care",24.07,17.49,30.66
"167","Eyesight","Employment sector","Teaching and education",20.65,17.38,23.92
"168","Eyesight","Employment sector","Transport (including storage, logistic)",19.28,13.27,25.28
"169","Eyesight","Employment sector","Unknown",24.04,21.51,26.56
"170","Fever","All people","All people",2.42,2.03,2.8
"171","Fever","Employment status","Employed",1.94,1.46,2.42
"172","Fever","Employment status","Inactive - not looking",5.64,3.92,7.35
"173","Fever","Employment status","Inactive - retired",2.05,1.45,2.66
"174","Fever","Self-employment status","Not in employment",2.94,2.33,3.55
"175","Fever","Employment sector","Health care",2.83,1.32,4.35
"176","Fever","Employment sector","Not currently working",2.95,2.07,3.82
"177","Fever","Employment sector","Unknown",2.89,1.93,3.86
"178","General pain","All people","All people",19.77,18.77,20.78
"179","General pain","Employment status","Employed",17.74,16.42,19.07
"180","General pain","Employment status","Unemployed",20,10.29,29.71
"181","General pain","Employment status","Inactive - not looking",38.29,34.67,41.92
"182","General pain","Employment status","Inactive - retired",16.91,15.29,18.53
"183","General pain","Employment status","Inactive - student",15.19,7.37,23.01
"184","General pain","Self-employment status","Employee",17.75,16.33,19.18
"185","General pain","Self-employment status","Self-employed",17.67,14.12,21.23
"186","General pain","Self-employment status","Not in employment",21.99,20.47,23.5
"187","General pain","Employment sector","Arts, Entertainment or Recreation",13.64,6.48,20.79
"188","General pain","Employment sector","Civil service or Local Government",18.77,14.69,22.85
"189","General pain","Employment sector","Financial services (including insurance)",12.68,8.21,17.14
"190","General pain","Employment sector","Health care",22.22,18.42,26.02
"191","General pain","Employment sector","Hospitality (e.g. hotel, restaurant)",22,13.88,30.12
"192","General pain","Employment sector","Information technology and communication",10.75,6.33,15.18
"193","General pain","Employment sector","Manufacturing or construction",18.1,13.94,22.26
"194","General pain","Employment sector","Not currently working",19.94,17.84,22.05
"195","General pain","Employment sector","Other occupation sector",16.34,13.14,19.55
"196","General pain","Employment sector","Retail sector (including wholesale)",21.75,17.09,26.41
"197","General pain","Employment sector","Social care",27.16,20.32,34.01
"198","General pain","Employment sector","Teaching and education",18.26,15.14,21.38
"199","General pain","Employment sector","Transport (including storage, logistic)",19.28,13.3,25.26
"200","General pain","Employment sector","Unknown",23.42,20.96,25.88
"201","Hair loss","All people","All people",7.22,6.57,7.87
"202","Hair loss","Employment status","Employed",6.87,5.99,7.74
"203","Hair loss","Employment status","Inactive - not looking",13.58,11.01,16.16
"204","Hair loss","Employment status","Inactive - retired",5.54,4.57,6.52
"205","Hair loss","Self-employment status","Employee",7,6.04,7.95
"206","Hair loss","Self-employment status","Self-employed",6.04,3.85,8.23
"207","Hair loss","Self-employment status","Not in employment",7.61,6.65,8.57
"208","Hair loss","Employment sector","Civil service or Local Government",7.28,4.58,9.98
"209","Hair loss","Employment sector","Financial services (including insurance)",8.45,4.74,12.16
"210","Hair loss","Employment sector","Health care",11.33,8.42,14.23
"211","Hair loss","Employment sector","Manufacturing or construction",3.99,1.86,6.11
"212","Hair loss","Employment sector","Not currently working",7.09,5.75,8.43
"213","Hair loss","Employment sector","Other occupation sector",6.03,3.97,8.09
"214","Hair loss","Employment sector","Retail sector (including wholesale)",7.79,4.8,10.78
"215","Hair loss","Employment sector","Social care",8.64,4.31,12.97
"216","Hair loss","Employment sector","Teaching and education",8.02,5.82,10.22
"217","Hair loss","Employment sector","Unknown",7.89,6.34,9.45
"218","Headache","All people","All people",27.36,26.22,28.49
"219","Headache","Employment status","Employed",28.09,26.52,29.65
"220","Headache","Employment status","Unemployed",30.77,19.55,41.99
"221","Headache","Employment status","Inactive - not looking",43.79,40.1,47.47
"222","Headache","Employment status","Inactive - retired",20.35,18.61,22.1
"223","Headache","Employment status","Inactive - student",36.71,26.23,47.18
"224","Headache","Self-employment status","Employee",29.06,27.35,30.76
"225","Headache","Self-employment status","Self-employed",22.15,18.32,25.98
"226","Headache","Self-employment status","Not in employment",26.56,24.95,28.18
"227","Headache","Employment sector","Arts, Entertainment or Recreation",18.18,10.14,26.23
"228","Headache","Employment sector","Civil service or Local Government",27.17,22.48,31.87
"229","Headache","Employment sector","Financial services (including insurance)",24.88,19.08,30.68
"230","Headache","Employment sector","Health care",37.47,33.03,41.92
"231","Headache","Employment sector","Hospitality (e.g. hotel, restaurant)",33,23.77,42.23
"232","Headache","Employment sector","Information technology and communication",21.51,15.5,27.51
"233","Headache","Employment sector","Manufacturing or construction",24.23,19.54,28.92
"234","Headache","Employment sector","Not currently working",25,22.7,27.3
"235","Headache","Employment sector","Other occupation sector",23.35,19.67,27.02
"236","Headache","Employment sector","Retail sector (including wholesale)",29.22,24.15,34.29
"237","Headache","Employment sector","Social care",36.42,29.02,43.82
"238","Headache","Employment sector","Teaching and education",30.2,26.49,33.92
"239","Headache","Employment sector","Transport (including storage, logistic)",24.7,18.21,31.18
"240","Headache","Employment sector","Unknown",28.07,25.47,30.67
"241","Joint pain","All people","All people",34.04,32.84,35.24
"242","Joint pain","Employment status","Employed",31.32,29.7,32.94
"243","Joint pain","Employment status","Unemployed",35.38,23.76,47.01
"244","Joint pain","Employment status","Inactive - not looking",50.58,46.84,54.32
"245","Joint pain","Employment status","Inactive - retired",33.21,31.17,35.24
"246","Joint pain","Employment status","Inactive - student",20.25,11.37,29.14
"247","Joint pain","Self-employment status","Employee",31.24,29.5,32.99
"248","Joint pain","Self-employment status","Self-employed",31.77,27.47,36.07
"249","Joint pain","Self-employment status","Not in employment",37.01,35.25,38.77
"250","Joint pain","Employment sector","Arts, Entertainment or Recreation",28.41,18.97,37.85
"251","Joint pain","Employment sector","Civil service or Local Government",34.45,29.52,39.39
"252","Joint pain","Employment sector","Financial services (including insurance)",24.41,18.65,30.17
"253","Joint pain","Employment sector","Food production, agriculture, farming",34.78,20.48,49.09
"254","Joint pain","Employment sector","Health care",37.91,33.44,42.38
"255","Joint pain","Employment sector","Hospitality (e.g. hotel, restaurant)",33,23.79,42.21
"256","Joint pain","Employment sector","Information technology and communication",21.51,15.59,27.42
"257","Joint pain","Employment sector","Manufacturing or construction",31.6,26.55,36.64
"258","Joint pain","Employment sector","Not currently working",35.04,32.53,37.55
"259","Joint pain","Employment sector","Other occupation sector",30.93,26.94,34.93
"260","Joint pain","Employment sector","Personal services (e.g. hairdressers)",22.73,10.34,35.11
"261","Joint pain","Employment sector","Retail sector (including wholesale)",37.01,31.68,42.35
"262","Joint pain","Employment sector","Social care",41.36,33.78,48.94
"263","Joint pain","Employment sector","Teaching and education",31.4,27.62,35.18
"264","Joint pain","Employment sector","Transport (including storage, logistic)",33.73,26.55,40.92
"265","Joint pain","Employment sector","Unknown",37.54,34.74,40.35
"266","Loss of appetite","All people","All people",9.85,9.1,10.61
"267","Loss of appetite","Employment status","Employed",7.24,6.35,8.14
"268","Loss of appetite","Employment status","Inactive - not looking",19.94,16.93,22.95
"269","Loss of appetite","Employment status","Inactive - retired",10.37,9.04,11.7
"270","Loss of appetite","Self-employment status","Employee",7.4,6.42,8.38
"271","Loss of appetite","Self-employment status","Self-employed",6.26,4.03,8.5
"272","Loss of appetite","Self-employment status","Not in employment",12.7,11.48,13.92
"273","Loss of appetite","Employment sector","Civil service or Local Government",8.4,5.53,11.28
"274","Loss of appetite","Employment sector","Financial services (including insurance)",6.1,2.89,9.32
"275","Loss of appetite","Employment sector","Health care",8.93,6.32,11.54
"276","Loss of appetite","Employment sector","Information technology and communication",6.45,2.91,9.99
"277","Loss of appetite","Employment sector","Manufacturing or construction",5.52,3.04,8.01
"278","Loss of appetite","Employment sector","Not currently working",12.08,10.36,13.8
"279","Loss of appetite","Employment sector","Other occupation sector",7.39,5.15,9.64
"280","Loss of appetite","Employment sector","Retail sector (including wholesale)",12.99,9.23,16.74
"281","Loss of appetite","Employment sector","Social care",9.88,5.28,14.47
"282","Loss of appetite","Employment sector","Teaching and education",7.34,5.23,9.45
"283","Loss of appetite","Employment sector","Transport (including storage, logistic)",6.63,2.84,10.41
"284","Loss of appetite","Employment sector","Unknown",12.98,11.01,14.95
"285","Loss of smell","All people","All people",20.64,19.62,21.66
"286","Loss of smell","Employment status","Employed",22.82,21.36,24.28
"287","Loss of smell","Employment status","Unemployed",24.62,14.15,35.08
"288","Loss of smell","Employment status","Inactive - not looking",21.24,18.19,24.29
"289","Loss of smell","Employment status","Inactive - retired",16.77,15.17,18.37
"290","Loss of smell","Employment status","Inactive - student",26.58,16.48,36.69
"291","Loss of smell","Self-employment status","Employee",22.86,21.29,24.43
"292","Loss of smell","Self-employment status","Self-employed",22.6,18.74,26.45
"293","Loss of smell","Self-employment status","Not in employment",18.27,16.86,19.67
"294","Loss of smell","Employment sector","Civil service or Local Government",23.53,19.08,27.98
"295","Loss of smell","Employment sector","Financial services (including insurance)",21.13,15.67,26.59
"296","Loss of smell","Employment sector","Health care",22,18.23,25.78
"297","Loss of smell","Employment sector","Hospitality (e.g. hotel, restaurant)",20,12.16,27.84
"298","Loss of smell","Employment sector","Information technology and communication",25.27,19.01,31.53
"299","Loss of smell","Employment sector","Manufacturing or construction",19.63,15.36,23.9
"300","Loss of smell","Employment sector","Not currently working",18.12,16.1,20.13
"301","Loss of smell","Employment sector","Other occupation sector",24.12,20.43,27.82
"302","Loss of smell","Employment sector","Personal services (e.g. hairdressers)",38.64,24.28,52.99
"303","Loss of smell","Employment sector","Retail sector (including wholesale)",24.35,19.53,29.18
"304","Loss of smell","Employment sector","Social care",22.22,15.82,28.62
"305","Loss of smell","Employment sector","Teaching and education",22.18,18.81,25.55
"306","Loss of smell","Employment sector","Transport (including storage, logistic)",16.87,11.16,22.58
"307","Loss of smell","Employment sector","Unknown",18.68,16.43,20.94
"308","Loss of taste","All people","All people",18.25,17.28,19.22
"309","Loss of taste","Employment status","Employed",18.03,16.69,19.36
"310","Loss of taste","Employment status","Unemployed",21.54,11.55,31.52
"311","Loss of taste","Employment status","Inactive - not looking",20.95,17.91,24
"312","Loss of taste","Employment status","Inactive - retired",17.53,15.9,19.17
"313","Loss of taste","Employment status","Inactive - student",20.25,10.98,29.53
"314","Loss of taste","Self-employment status","Employee",18.01,16.57,19.45
"315","Loss of taste","Self-employment status","Self-employed",18.12,14.58,21.67
"316","Loss of taste","Self-employment status","Not in employment",18.5,17.09,19.92
"317","Loss of taste","Employment sector","Arts, Entertainment or Recreation",11.36,4.78,17.95
"318","Loss of taste","Employment sector","Civil service or Local Government",15.69,11.92,19.46
"319","Loss of taste","Employment sector","Financial services (including insurance)",16.43,11.46,21.4
"320","Loss of taste","Employment sector","Health care",22,18.23,25.78
"321","Loss of taste","Employment sector","Hospitality (e.g. hotel, restaurant)",21,13.01,28.99
"322","Loss of taste","Employment sector","Information technology and communication",14.52,9.44,19.59
"323","Loss of taste","Employment sector","Manufacturing or construction",16.56,12.54,20.59
"324","Loss of taste","Employment sector","Not currently working",17.91,15.89,19.92
"325","Loss of taste","Employment sector","Other occupation sector",20.43,16.95,23.91
"326","Loss of taste","Employment sector","Retail sector (including wholesale)",20.45,15.93,24.98
"327","Loss of taste","Employment sector","Social care",19.75,13.61,25.9
"328","Loss of taste","Employment sector","Teaching and education",16.72,13.7,19.75
"329","Loss of taste","Employment sector","Transport (including storage, logistic)",15.06,9.64,20.48
"330","Loss of taste","Employment sector","Unknown",19.21,16.91,21.51
"331","Low mood or not enjoying","All people","All people",27.95,26.81,29.08
"332","Low mood or not enjoying","Employment status","Employed",27.81,26.25,29.36
"333","Low mood or not enjoying","Employment status","Unemployed",35.38,23.75,47.02
"334","Low mood or not enjoying","Employment status","Inactive - not looking",45.38,41.64,49.11
"335","Low mood or not enjoying","Employment status","Inactive - retired",22.17,20.36,23.98
"336","Low mood or not enjoying","Employment status","Inactive - student",27.85,17.92,37.77
"337","Low mood or not enjoying","Self-employment status","Employee",28.18,26.5,29.86
"338","Low mood or not enjoying","Self-employment status","Self-employed",25.5,21.38,29.62
"339","Low mood or not enjoying","Self-employment status","Not in employment",28.1,26.45,29.75
"340","Low mood or not enjoying","Employment sector","Arts, Entertainment or Recreation",27.27,17.95,36.6
"341","Low mood or not enjoying","Employment sector","Civil service or Local Government",30.25,25.47,35.03
"342","Low mood or not enjoying","Employment sector","Financial services (including insurance)",24.41,18.63,30.19
"343","Low mood or not enjoying","Employment sector","Food production, agriculture, farming",36.96,22.5,51.41
"344","Low mood or not enjoying","Employment sector","Health care",28.54,24.39,32.69
"345","Low mood or not enjoying","Employment sector","Hospitality (e.g. hotel, restaurant)",24,15.65,32.35
"346","Low mood or not enjoying","Employment sector","Information technology and communication",25.81,19.59,32.03
"347","Low mood or not enjoying","Employment sector","Manufacturing or construction",30.67,25.63,35.72
"348","Low mood or not enjoying","Employment sector","Not currently working",27.25,24.89,29.6
"349","Low mood or not enjoying","Employment sector","Other occupation sector",28.02,24.1,31.93
"350","Low mood or not enjoying","Employment sector","Personal services (e.g. hairdressers)",22.73,10.34,35.11
"351","Low mood or not enjoying","Employment sector","Retail sector (including wholesale)",30.84,25.61,36.07
"352","Low mood or not enjoying","Employment sector","Social care",33.33,26.06,40.6
"353","Low mood or not enjoying","Employment sector","Teaching and education",24.91,21.41,28.42
"354","Low mood or not enjoying","Employment sector","Transport (including storage, logistic)",34.34,27.14,41.54
"355","Low mood or not enjoying","Employment sector","Unknown",27.37,24.76,29.98
"356","Memory loss or confusion","All people","All people",26.2,25.08,27.31
"357","Memory loss or confusion","Employment status","Employed",27.08,25.54,28.63
"358","Memory loss or confusion","Employment status","Unemployed",41.54,29.58,53.5
"359","Memory loss or confusion","Employment status","Inactive - not looking",40.17,36.53,43.82
"360","Memory loss or confusion","Employment status","Inactive - retired",19.59,17.87,21.31
"361","Memory loss or confusion","Employment status","Inactive - student",30.38,20.17,40.59
"362","Memory loss or confusion","Self-employment status","Employee",27.89,26.2,29.57
"363","Memory loss or confusion","Self-employment status","Self-employed",22.15,18.24,26.06
"364","Memory loss or confusion","Self-employment status","Not in employment",25.23,23.64,26.82
"365","Memory loss or confusion","Employment sector","Arts, Entertainment or Recreation",31.82,22.08,41.56
"366","Memory loss or confusion","Employment sector","Civil service or Local Government",32.49,27.56,37.43
"367","Memory loss or confusion","Employment sector","Financial services (including insurance)",27.7,21.7,33.7
"368","Memory loss or confusion","Employment sector","Health care",26.36,22.34,30.39
"369","Memory loss or confusion","Employment sector","Hospitality (e.g. hotel, restaurant)",22,13.88,30.12
"370","Memory loss or confusion","Employment sector","Information technology and communication",18.82,13.09,24.54
"371","Memory loss or confusion","Employment sector","Manufacturing or construction",25.15,20.4,29.91
"372","Memory loss or confusion","Employment sector","Not currently working",22.68,20.48,24.88
"373","Memory loss or confusion","Employment sector","Other occupation sector",26.07,22.27,29.87
"374","Memory loss or confusion","Employment sector","Retail sector (including wholesale)",32.14,26.87,37.41
"375","Memory loss or confusion","Employment sector","Social care",35.19,27.83,42.54
"376","Memory loss or confusion","Employment sector","Teaching and education",30.89,27.15,34.62
"377","Memory loss or confusion","Employment sector","Transport (including storage, logistic)",25.9,19.25,32.55
"378","Memory loss or confusion","Employment sector","Unknown",25,22.46,27.54
"379","Mobility","All people","All people",15.54,14.63,16.46
"380","Mobility","Employment status","Employed",9.69,8.66,10.71
"381","Mobility","Employment status","Inactive - not looking",35.98,32.37,39.59
"382","Mobility","Employment status","Inactive - retired",18.11,16.44,19.78
"383","Mobility","Self-employment status","Employee",9.3,8.21,10.38
"384","Mobility","Self-employment status","Self-employed",12.08,9.06,15.1
"385","Mobility","Self-employment status","Not in employment",21.92,20.4,23.44
"386","Mobility","Employment sector","Civil service or Local Government",13.73,10.15,17.3
"387","Mobility","Employment sector","Financial services (including insurance)",5.63,2.54,8.73
"388","Mobility","Employment sector","Health care",14.16,10.96,17.36
"389","Mobility","Employment sector","Hospitality (e.g. hotel, restaurant)",10,4.12,15.88
"390","Mobility","Employment sector","Information technology and communication",5.91,2.52,9.31
"391","Mobility","Employment sector","Manufacturing or construction",8.9,5.81,11.98
"392","Mobility","Employment sector","Not currently working",21.14,18.99,23.29
"393","Mobility","Employment sector","Other occupation sector",11.09,8.38,13.8
