id,name,author,title,description,url,publishedAt,content,topic,all_text
national-geographic,National Geographic,Sanjay Mishra,Why does COVID-19 cause brain fog? Scientists may finally have an answer.,Nearly 40 percent of long COVID patients suffer from the disorienting condition. Destroyed connections between brain cells may be to blame.,https://www.nationalgeographic.com/premium/article/why-does-covid-19-cause-brain-fog-answer-immune-inflammation-synapse,2023-11-13T00:00:00Z,"When scientists infected brain organoidspinhead-size bits of brain tissue grown in the labwith the virus that causes COVID, they found that not only does it spread in neurons in the brain, it also ac… [+8849 chars]",1,why does covid19 cause brain fog scientists may finally have an answer nearly 40 percent of long covid patients suffer from the disorienting condition destroyed connections between brain cells may be to blame when scientists infected brain organoidspinheadsize bits of brain tissue grown in the labwith the virus that causes covid they found that not only does it spread in neurons in the brain it also
nbc-news,NBC News,Aria Bendix,Neck injection could improve smell issues in some long Covid patients﻿,"Their coronavirus infections had cleared up, but the patients were met with a grim reality: Scents that were once pleasant had suddenly become foul.",https://www.nbcnews.com/health/health-news/neck-injection-improve-smell-issues-long-covid-patients-rcna125192,2023-11-20T10:00:00Z,"Their coronavirus infections had cleared up, but the patients were met with a grim reality: Scents that were once pleasant had suddenly become foul. Sautéed garlic and onions smelled like rotting gar… [+5878 chars]",1,neck injection could improve smell issues in some long covid patients their coronavirus infections had cleared up but the patients were met with a grim reality scents that were once pleasant had suddenly become foul their coronavirus infections had cleared up but the patients were met with a grim reality scents that were once pleasant had suddenly become foul sauted garlic and onions smelled like rotting
the-times-of-india,The Times of India,PTI,"New study links pre-existing allergic conditions to higher, long Covid risk",The researchers emphasised the need for more robust epidemiological research and a standardised definition of long-Covid for further investigations into the role of allergies in its development.,https://economictimes.indiatimes.com/magazines/panache/new-study-links-pre-existing-allergic-conditions-to-higher-long-covid-risk/articleshow/105098946.cms,2023-11-09T12:49:11Z,"New Delhi, Pre-existing allergic conditions such as asthma or rhinitis may be associated with a higher risk of experiencing long-term symptoms associated with COVID-19, or Long-COVID, according to a … [+1432 chars]",1,new study links preexisting allergic conditions to higher long covid risk the researchers emphasised the need for more robust epidemiological research and a standardised definition of longcovid for further investigations into the role of allergies in its development new delhi preexisting allergic conditions such as asthma or rhinitis may be associated with a higher risk of experiencing longterm symptoms associated with covid19 or longcovid according to a
nbc-news,NBC News,Erik Ortiz and Laura Strickler and Mirna Alsharif and Tom Winter and Kat Tenbarge,Suspect in Burlington shooting allegedly told ATF agent: 'I've been waiting for you',The details of law enforcement's initial encounter with Jason Eaton were revealed as he pleaded not guilty Monday to three counts of attempted murder in the second degree.,https://www.nbcnews.com/news/us-news/suspect-burlington-shooting-allegedly-told-atf-agent-waiting-rcna126813,2023-11-27T22:32:25Z,"When ATF agents knocked on the apartment door of the suspect accused of shooting three Palestinian college students two of them U.S. citizens in Burlington, Vermont, over the weekend, he held out his… [+7120 chars]",1,suspect in burlington shooting allegedly told atf agent ive been waiting for you the details of law enforcements initial encounter with jason eaton were revealed as he pleaded not guilty monday to three counts of attempted murder in the second degree when atf agents knocked on the apartment door of the suspect accused of shooting three palestinian college students two of them us citizens in burlington vermont over the weekend he held out
abc-news-au,ABC News (AU),ABC News,COVID cases are surging again but there are lots of ways to protect yourself — starting with wearing a mask,"Wearing a mask at the shops, on public transport and in other crowded settings will help prevent you from getting infected with COVID or spreading it to other people, writes Raina MacIntyre.",https://www.abc.net.au/news/2023-11-21/covid-surging-australia-should-i-wear-a-mask/103126620,2023-11-20T18:15:00Z,"COVID is on the rise again, with a peak likely over the holiday season.
Given this, health authorities in a number of Australian states have recommended people start wearing masks again. In Western … [+4156 chars]",1,covid cases are surging again but there are lots of ways to protect yourself starting with wearing a mask wearing a mask at the shops on public transport and in other crowded settings will help prevent you from getting infected with covid or spreading it to other people writes raina macintyre covid is on the rise again with a peak likely over the holiday season given this health authorities in a number of australian states have recommended people start wearing masks again in western
cbc-news,CBC News,,"B.C. counts over 1M flu vaccines, almost 850K COVID-19 vaccines administered in past 6 weeks","COVID-19 rates are dropping while RSV and influenza rates are beginning to rise, according to Provincial Health Officer Dr. Bonnie Henry.",https://www.cbc.ca/news/canada/british-columbia/covid19-outbreak-saanich-peninsula-hospital-bc-respiratory-virus-influenza-bird-flu-1.7025416,2023-11-10T20:06:28Z,"Close to 1,073,000 doses of influenza vaccine and almost 850,000 COVID-19 vaccines have been administered to British Columbians since the province's fall vaccination program started six weeks ago.
T… [+3599 chars]",1,bc counts over 1m flu vaccines almost 850k covid19 vaccines administered in past weeks covid19 rates are dropping while rsv and influenza rates are beginning to rise according to provincial health officer dr bonnie henry close to 1073000 doses of influenza vaccine and almost 850000 covid19 vaccines have been administered to british columbians since the provinces fall vaccination program started six weeks ago
nbc-news,NBC News,Amy Maxmen | KFF Health News,Does Novavax's Covid vaccine cause fewer side effects?,The Novavax Covid vaccine may cause fewer side effects than the Pfizer or Moderna mRNA vaccine. Some people have sought it out.,https://www.nbcnews.com/health/health-news/novavaxs-covid-vaccine-cause-fewer-side-effects-rcna125216,2023-11-19T10:00:00Z,"Erin Kissane, a co-founder of the COVID Tracking Project, rolled up her sleeve for the Novavax Covid-19 vaccine in mid-October soon after it was finally recommended in the United States. Like many pe… [+6326 chars]",1,does novavaxs covid vaccine cause fewer side effects the novavax covid vaccine may cause fewer side effects than the pfizer or moderna mrna vaccine some people have sought it out erin kissane a cofounder of the covid tracking project rolled up her sleeve for the novavax covid19 vaccine in midoctober soon after it was finally recommended in the united states like many
time,Time,Haley Weiss,U.S. Suicide Rates Reached an All-Time High in 2022,U.S. suicide rates increased the most among adults over 75 and younger white women.,https://time.com/6340732/u-s-suicide-rates-2022/,2023-11-29T19:23:58Z,"Suicide rates in the U.S. reached an all-time high in 2022, continuing a surge that began in 2021, according to new provisional data from the Centers for Disease Control and Prevention. 
The increas… [+2385 chars]",1,us suicide rates reached an alltime high in 2022 us suicide rates increased the most among adults over 75 and younger white women suicide rates in the us reached an alltime high in 2022 continuing a surge that began in 2021 according to new provisional data from the centers for disease control and prevention the
the-irish-times,The Irish Times,Muiris Houston,Dr Muiris Houston: Mounting evidence that Covid-19 targets the heart,"Dr Muiris Houston: There is a definite link between Covid infection and a range of heart diseases, even for those who had a relatively mild infection and made a good recovery",https://www.irishtimes.com/health/your-wellness/2023/11/13/watch-out-mounting-evidence-that-covid-19-targets-the-heart/,2023-11-13T05:31:00Z,"Covid-19 hasnt gone away. But, almost four years after it was first identified, the infectious disease certainly features less in the zeitgeist. People can be forgiven for placing Covid on the back b… [+4400 chars]",1,dr muiris houston mounting evidence that covid19 targets the heart dr muiris houston there is a definite link between covid infection and a range of heart diseases even for those who had a relatively mild infection and made a good recovery covid19 hasnt gone away but almost four years after it was first identified the infectious disease certainly features less in the zeitgeist people can be forgiven for placing covid on the back
abc-news-au,ABC News (AU),Catherine Taylor,"Is there a link between COVID and Parkinson's, Alzheimer's or autoimmune diseases? The research is building","Genes, environment and lifestyle are some of the risk factors for serious diseases like Parkinson's and Alzheimer's. Now scientists believe COVID-19 infection should be added to the list, writes Catherine Taylor",https://www.abc.net.au/news/2023-11-22/covid-long-term-disease-parkinsons-alzheimers-risk/103112864,2023-11-21T18:00:00Z,"From the earliest days of the COVID-19 pandemic, scientists have raised concerns about the potential for long-term health problems linked to SARS-CoV-2 and warned repeated infections are likely to in… [+13162 chars]",1,is there a link between covid and parkinsons alzheimers or autoimmune diseases the research is building genes environment and lifestyle are some of the risk factors for serious diseases like parkinsons and alzheimers now scientists believe covid19 infection should be added to the list writes catherine taylor from the earliest days of the covid19 pandemic scientists have raised concerns about the potential for longterm health problems linked to sarscov2 and warned repeated infections are likely to
national-geographic,National Geographic,Emily Sohn,COVID-19 can ruin your sleep in many different ways—here's why,Scientists are learning more about the havoc that viruses and bacteria wreak on sleep. Here's what you need to know about seeking care for insomnia.,https://www.nationalgeographic.com/premium/article/covid-19-can-ruin-your-sleep-in-many-different-waysheres-why,2023-11-13T00:00:00Z,"Six weeks after a mild case of COVID-19 early in the pandemic, Erika Thornes started waking up every night between 2 and 3 a.m. Unable to fall back asleep, she would listen to podcasts, read, and scr… [+12521 chars]",1,covid19 can ruin your sleep in many different waysheres why scientists are learning more about the havoc that viruses and bacteria wreak on sleep heres what you need to know about seeking care for insomnia six weeks after a mild case of covid19 early in the pandemic erika thornes started waking up every night between and am unable to fall back asleep she would listen to podcasts read and
the-times-of-india,The Times of India,PTI,"People who experienced childhood adversity had poorer Covid-19 outcomes, new study shows","Adults who experienced childhood trauma, including abuse and neglect, are at a higher risk of death and hospitalization due to Covid-19. A study of 150,000 adults in the UK found that those with the most childhood trauma had a 25% higher likelihood of death a…",https://timesofindia.indiatimes.com/home/science/people-who-experienced-childhood-adversity-had-poorer-covid-19-outcomes-new-study-shows/articleshow/105654640.cms,2023-12-01T10:03:45Z,"<ul><li>News</li>
<li>Science News</li>
<li>People who experienced childhood adversity had poorer Covid-19 outcomes, new study shows</li></ul>
Adults who experienced childhood trauma, including ab… [+596 chars]",1,people who experienced childhood adversity had poorer covid19 outcomes new study shows adults who experienced childhood trauma including abuse and neglect are at a higher risk of death and hospitalization due to covid19 a study of 150000 adults in the uk found that those with the most childhood trauma had a 25 higher likelihood of death a ullinewsli liscience newsli lipeople who experienced childhood adversity had poorer covid19 outcomes new study showsliul adults who experienced childhood trauma including
the-times-of-india,The Times of India,PTI,Study reveals link between childhood trauma & higher Covid hospitalisation rates,"A new study has found that adults who experienced childhood trauma, such as abuse or neglect, are more likely to be hospitalised or die from Covid.",https://economictimes.indiatimes.com/magazines/panache/study-reveals-link-between-childhood-trauma-higher-covid-hospitalisation-rates/articleshow/105046581.cms,2023-11-07T15:16:38Z,"New Delhi, People with childhood trauma, like abuse or neglect, were more likely to be hospitalised or die from COVID-19 in adulthood, a new study has found. Analysing data of more than 1,51,200 (1.5… [+1758 chars]",1,study reveals link between childhood trauma higher covid hospitalisation rates a new study has found that adults who experienced childhood trauma such as abuse or neglect are more likely to be hospitalised or die from covid new delhi people with childhood trauma like abuse or neglect were more likely to be hospitalised or die from covid19 in adulthood a new study has found analysing data of more than 151200
bbc-news,BBC News,https://www.facebook.com/bbcnews,More illness among young affecting work ability,They are now likely to say ill-health affects their job as the middle-aged did 10 years ago.,https://www.bbc.co.uk/news/health-67443189,2023-11-17T01:29:49Z,"Millions of workers in the UK are struggling with ill-health that is affecting their ability at work.
The Health Foundation analysis found 12% of people in work - 3.7 million - had a ""work-limiting""… [+2886 chars]",1,more illness among young affecting work ability they are now likely to say illhealth affects their job as the middleaged did 10 years ago millions of workers in the uk are struggling with illhealth that is affecting their ability at work the health foundation analysis found 12 of people in work 37 million had a
new-scientist,New Scientist,Michael Marshall,Long covid: What we now know about its causes and possible treatments,"Almost four years after the first cases emerged, we are accumulating evidence about the physiology behind this complex condition – from microclots to viral persistence",https://www.newscientist.com/article/mg26034670-800-long-covid-what-we-now-know-about-its-causes-and-possible-treatments/,2023-11-27T16:00:00Z,"Pete Reynolds
FOR many of us, the covid-19 pandemic is fading into memory. But for millions of people, that isn’t possible as they are still unwell. An illness that is often brief and mild is, for s… [+1378 chars]",1,long covid what we now know about its causes and possible treatments almost four years after the first cases emerged we are accumulating evidence about the physiology behind this complex condition from microclots to viral persistence pete reynolds for many of us the covid19 pandemic is fading into memory but for millions of people that isnt possible as they are still unwell an illness that is often brief and mild is for
nbc-news,NBC News,Elizabeth Both,Sam Altman moves to Microsoft and Rosalynn Carter remembered: Morning Rundown,Get everything you need to know to start your day. Sign up to get the Morning Rundown newsletter to your email inbox.,https://www.nbcnews.com/news/november-20-2023-morning-rundown-rcna125933,2023-11-20T12:34:14Z,"In todays newsletter:  Sam Altman joins Microsoft after his surprise OpenAI firing. Former first lady Rosalynn Carter dies at 96. And Napoleon's famous bicorne hat sells for $2.1 million.
Here's wha… [+8094 chars]",1,sam altman moves to microsoft and rosalynn carter remembered morning rundown get everything you need to know to start your day sign up to get the morning rundown newsletter to your email inbox in todays newsletter sam altman joins microsoft after his surprise openai firing former first lady rosalynn carter dies at 96 and napoleons famous bicorne hat sells for 21 million heres
the-times-of-india,The Times of India,The Feed,Kate Garraway’s husband hospitalized again: Updates actress,"Kate Garraway has disclosed that her husband, Derek Draper, has returned to the hospital, while thanking his caretakers for saving his life.The Good Morning Britain host discussed her husband's condition on Loose Women on Thursday. Derek has been in and out o…",https://economictimes.indiatimes.com/news/international/us/kate-garraways-husband-hospitalized-again-updates-actress/articleshow/105453566.cms,2023-11-23T17:12:16Z,Kate Garraway recently announced that her husband Derek Draper has returned to the hospital.The shocking news was disclosed by the Good Morning Britain presenter on Thursday's episode of Loose Women.… [+2156 chars],1,kate garraways husband hospitalized again updates actress kate garraway has disclosed that her husband derek draper has returned to the hospital while thanking his caretakers for saving his lifethe good morning britain host discussed her husbands condition on loose women on thursday derek has been in and out kate garraway recently announced that her husband derek draper has returned to the hospitalthe shocking news was disclosed by the good morning britain presenter on thursdays episode of loose
abc-news-au,ABC News (AU),Australian Broadcasting Corporation,The ladder out of depression with psychiatrist Ian Hickie,Professor Ian Hickie has spent decades trying to understand clinical depression. Where does it come from? What role do genes play? And most importantly – what works to release its chokehold?,https://www.abc.net.au/listen/programs/conversations/professor-ian-hickie-clinical-depression-black-dog/102959532,2023-11-16T00:00:00Z,"Ian Hickie has spent his career trying to help people at their darkest times.
He's a psychiatrist who is particularly passionate about taming the black dog of depression.
Depression is not a simple… [+479 chars]",1,the ladder out of depression with psychiatrist ian hickie professor ian hickie has spent decades trying to understand clinical depression where does it come from what role do genes play and most importantly what works to release its chokehold ian hickie has spent his career trying to help people at their darkest times hes a psychiatrist who is particularly passionate about taming the black dog of depression depression is not a
techcrunch,TechCrunch,Sarah Perez,Instagram Threads search now supports ‘all languages’ in latest update,"Instagram’s Twitter/X rival, Threads, is becoming more competitive with the expansion of its keyword search feature to all markets where the app is available. The feature was initially tested in English-speaking markets including Australia and New Zealand in …",https://techcrunch.com/2023/11/30/instagram-threads-search-now-supports-all-languages-in-latest-update/,2023-11-30T19:06:06Z,"Instagram’s Twitter/X rival, Threads, is becoming more competitive with the expansion of its keyword search feature to all markets where the app is available. The feature was initially tested in Engl… [+2614 chars]",1,instagram threads search now supports all languages in latest update instagrams twitterx rival threads is becoming more competitive with the expansion of its keyword search feature to all markets where the app is available the feature was initially tested in englishspeaking markets including australia and new zealand in instagrams twitterx rival threads is becoming more competitive with the expansion of its keyword search feature to all markets where the app is available the feature was initially tested in
abc-news-au,ABC News (AU),James Carmody,"A lot has changed since COVID dominated the headlines. With cases rising in WA, here's what you need to know","Drive-through COVID testing centres and the SafeWA app may seem a long time ago, but the virus never left — and as cases surge around the country, experts say it is still a force to be reckoned with.",https://www.abc.net.au/news/2023-11-15/covid-19-cases-in-western-australia-on-the-rise/103097934,2023-11-14T21:52:32Z,"In recent weeks COVID-19 has notably re-emerged on the radar for West Australians.
Key points:
<ul><li>COVID cases are on the rise in Western Australia</li><li>The increase is being driven by the O… [+9854 chars]",1,a lot has changed since covid dominated the headlines with cases rising in wa heres what you need to know drivethrough covid testing centres and the safewa app may seem a long time ago but the virus never left and as cases surge around the country experts say it is still a force to be reckoned with in recent weeks covid19 has notably reemerged on the radar for west australians key points ullicovid cases are on the rise in western australialilithe increase is being driven by the
abc-news-au,ABC News (AU),Kenji Sato,"Drug trials on mice, tissue cells a potential first step in treating COVID-19 brain fog, researchers say","The scientists found that four pre-existing drugs successfully eliminated cells  that were found to speed up the effects of ageing on the brain, so-called ""zombie"" cells that grew faster in a COVID-19-affected brain.",https://www.abc.net.au/news/2023-11-22/university-of-queensland-covid-19-brain-fog-treatment-trial/103130398,2023-11-21T20:00:03Z,"Scientists are confident they will have a treatment for COVID-19 brain fog in five to 10 years following successful trials on mice and human brain tissue.
Key points:
<ul><li>Scientist Julio Aguado… [+3016 chars]",1,drug trials on mice tissue cells a potential first step in treating covid19 brain fog researchers say the scientists found that four preexisting drugs successfully eliminated cells that were found to speed up the effects of ageing on the brain socalled zombie cells that grew faster in a covid19affected brain scientists are confident they will have a treatment for covid19 brain fog in five to 10 years following successful trials on mice and human brain tissue key points ulliscientist julio
national-geographic,National Geographic,Meryl Davids Landau,COVID-19 can interfere with your period in many ways. Here's how.,"Physicians failed to warn women about the expected temporary disruptions to their periods after the vaccine, and the more significant issues after a severe bout of COVID-19.",https://www.nationalgeographic.com/premium/article/covid-19-virus-infection-delay-period-menstruation,2023-11-15T00:00:00Z,"Raven La Fae, a 32-year-old artist in Calgary, Canada, has always been able to predict their menstrual periods almost to the day; it arrived every 28 days and lasted for five. But after contracting C… [+7517 chars]",1,covid19 can interfere with your period in many ways heres how physicians failed to warn women about the expected temporary disruptions to their periods after the vaccine and the more significant issues after a severe bout of covid19 raven la fae a 32yearold artist in calgary canada has always been able to predict their menstrual periods almost to the day it arrived every 28 days and lasted for five but after contracting
national-geographic,National Geographic,Natalia Mesa,There’s a mycobiome tucked inside your microbiome—here’s why it’s so important,"Your microbiome has its own fungal communities that live in the gut, skin, and respiratory tract. Known as the mycobiome, its role in your overall health is an emerging area of interest.",https://www.nationalgeographic.com/premium/article/mycobiome-fungi-gut-health-microbiome,2023-12-04T00:00:00Z,"The gut microbiome has gotten a lot of attention in recent years as a flood of scientific studies link it to a host of ailments, from irritable bowel syndrome to neurological disorders.
Of the many … [+7399 chars]",1,theres a mycobiome tucked inside your microbiomeheres why its so important your microbiome has its own fungal communities that live in the gut skin and respiratory tract known as the mycobiome its role in your overall health is an emerging area of interest the gut microbiome has gotten a lot of attention in recent years as a flood of scientific studies link it to a host of ailments from irritable bowel syndrome to neurological disorders of the many
newsweek,Newsweek,H. Alan Scott,Kathy Griffin Finally Feels 'Un-Canceled' After That Infamous Trump Photo,"""I finally feel like I'm un-canceled. This is gonna sound so embarrassing, it's taken time for America to forgive me,"" Kathy Griffin tells Newsweek's Parting Shot about her life now after that infamous Trump photo and her new tour.",https://www.newsweek.com/2023/12/15/kathy-griffin-finally-feels-un-canceled-after-that-infamous-trump-photo-1848111.html,2023-11-29T20:04:42Z,"By permission of Michael Ramirez and Creators Syndicate, Inc.
When a photo of Kathy Griffin holding the fake decapitated head of former President Donald Trump went viral in 2017, her entire world st… [+19794 chars]",1,kathy griffin finally feels uncanceled after that infamous trump photo i finally feel like im uncanceled this is gonna sound so embarrassing its taken time for america to forgive me kathy griffin tells newsweeks parting shot about her life now after that infamous trump photo and her new tour by permission of michael ramirez and creators syndicate inc when a photo of kathy griffin holding the fake decapitated head of former president donald trump went viral in 2017 her entire world
the-washington-post,The Washington Post,Philip Bump,There’s a racial gap on the covid vaccine — because of the partisan gap,"Americans have been slow to get the updated covid-19 vaccine, but no one has been slower than White Republicans.",https://www.washingtonpost.com/politics/2023/11/17/covid-vaccine-partisan-gap/,2023-11-17T16:59:14Z,"Comment on this story
Comment
Add to your saved stories
Save
At the end of the summer, the Centers for Disease Control and Prevention approved an updated version of vaccines targeting the coronav… [+3751 chars]",1,theres a racial gap on the covid vaccine because of the partisan gap americans have been slow to get the updated covid19 vaccine but no one has been slower than white republicans comment on this story comment add to your saved stories save at the end of the summer the centers for disease control and prevention approved an updated version of vaccines targeting the
nbc-news,NBC News,"NBC News, Mirna Alsharif",Suspect pleads not guilty in shooting of students of Palestinian descent in Vermont,"Follow NBC News' coverage for live updates about the shooting of three U.S. college students of Palestinian descent in Burlington, Vermont.",https://www.nbcnews.com/news/us-news/live-blog/palestinian-students-shooting-vermont-live-updates-rcna126774,2023-11-27T18:39:57Z,"Shooting suspect Jason J. Eaton has six traffic and vehicle-related tickets in Vermont since 1998, according to an NBC News review of state court records.
The court records show that a Jason J. Eato… [+11891 chars]",1,suspect pleads not guilty in shooting of students of palestinian descent in vermont follow nbc news coverage for live updates about the shooting of three us college students of palestinian descent in burlington vermont shooting suspect jason eaton has six traffic and vehiclerelated tickets in vermont since 1998 according to an nbc news review of state court records the court records show that a jason
fox-news,Fox News,Melissa Rudy,"Over half the people who get COVID have lingering symptoms after 3 years, new study finds","For more than half the people who recover from COVID-19, some symptoms linger for as long as three years, according to a new study published in The Lancet Respiratory Medicine.",https://www.foxnews.com/health/over-half-people-get-covid-have-lingering-symptoms-3-years-study-finds,2023-11-25T09:00:00Z,"For over half the people who recover from COVID-19
, some symptoms linger for as long as three years, according to a new study published this week in The Lancet Respiratory Medicine. 
Among 1,359 C… [+5010 chars]",1,over half the people who get covid have lingering symptoms after years new study finds for more than half the people who recover from covid19 some symptoms linger for as long as three years according to a new study published in the lancet respiratory medicine for over half the people who recover from covid19 some symptoms linger for as long as three years according to a new study published this week in the lancet respiratory medicine among 1359
