"","symptom","domain","group","estimate","lower_95_percent_confidence_limit","upper_95_percent_confidence_limit"
"244","Joint pain","Country/region","Yorkshire and the Humber",32.33,28.25,36.4
"245","Joint pain","Country/region","East Midlands",32.55,27.97,37.13
"246","Joint pain","Country/region","West Midlands",34.99,30.52,39.46
"247","Joint pain","Country/region","East of England",32.85,29.13,36.57
"248","Joint pain","Country/region","London",32.98,29.62,36.35
"249","Joint pain","Country/region","South East",31.25,27.89,34.61
"250","Joint pain","Country/region","South West",31.21,27.14,35.28
"251","Joint pain","Country/region","Northern Ireland",34.38,27.02,41.73
"252","Joint pain","Country/region","Scotland",43.63,39.47,47.78
"253","Joint pain","Country/region","Wales",39.44,34.09,44.8
"254","Joint pain","Ethnic group","Non-white",34.58,29.12,40.04
"255","Joint pain","Ethnic group","White",34.01,32.78,35.25
"256","Joint pain","Index of Multiple Deprivation quintile group","1",40.88,37.43,44.33
"257","Joint pain","Index of Multiple Deprivation quintile group","2",40.15,37.2,43.1
"258","Joint pain","Index of Multiple Deprivation quintile group","3",33.28,30.71,35.85
"259","Joint pain","Index of Multiple Deprivation quintile group","4",30.71,28.28,33.14
"260","Joint pain","Index of Multiple Deprivation quintile group","5",29.62,27.28,31.97
"261","Loss of appetite","All people","All people",9.85,9.1,10.61
"262","Loss of appetite","Country/region","England",9.29,8.49,10.1
"263","Loss of appetite","Country/region","North East",8.22,5.1,11.34
"264","Loss of appetite","Country/region","North West",8.59,6.54,10.64
"265","Loss of appetite","Country/region","Yorkshire and the Humber",10.21,7.58,12.83
"266","Loss of appetite","Country/region","East Midlands",9.91,7.05,12.76
"267","Loss of appetite","Country/region","West Midlands",7.78,5.29,10.26
"268","Loss of appetite","Country/region","East of England",8.81,6.54,11.09
"269","Loss of appetite","Country/region","London",9.16,7.14,11.19
"270","Loss of appetite","Country/region","South East",10.19,8,12.38
"271","Loss of appetite","Country/region","South West",10.34,7.68,12.99
"272","Loss of appetite","Country/region","Northern Ireland",10.62,5.84,15.41
"273","Loss of appetite","Country/region","Scotland",14.9,11.89,17.92
"274","Loss of appetite","Country/region","Wales",9.63,6.39,12.86
"275","Loss of appetite","Ethnic group","Non-white",7.8,4.75,10.84
"276","Loss of appetite","Ethnic group","White",9.96,9.18,10.73
"277","Loss of appetite","Index of Multiple Deprivation quintile group","1",13.83,11.42,16.24
"278","Loss of appetite","Index of Multiple Deprivation quintile group","2",11.38,9.49,13.26
"279","Loss of appetite","Index of Multiple Deprivation quintile group","3",9.06,7.53,10.6
"280","Loss of appetite","Index of Multiple Deprivation quintile group","4",8.65,7.16,10.15
"281","Loss of appetite","Index of Multiple Deprivation quintile group","5",8.4,6.97,9.82
"282","Loss of smell","All people","All people",20.64,19.62,21.66
"283","Loss of smell","Country/region","England",21.54,20.4,22.67
"284","Loss of smell","Country/region","North East",22.26,17.36,27.16
"285","Loss of smell","Country/region","North West",23.76,20.64,26.87
"286","Loss of smell","Country/region","Yorkshire and the Humber",18.34,15.04,21.63
"287","Loss of smell","Country/region","East Midlands",20.75,16.9,24.61
"288","Loss of smell","Country/region","West Midlands",19.87,16.25,23.49
"289","Loss of smell","Country/region","East of England",22.28,19,25.55
"290","Loss of smell","Country/region","London",21.73,18.79,24.67
"291","Loss of smell","Country/region","South East",20.79,17.82,23.75
"292","Loss of smell","Country/region","South West",23.26,19.53,26.99
"293","Loss of smell","Country/region","Northern Ireland",10.62,5.81,15.44
"294","Loss of smell","Country/region","Scotland",17.24,14.1,20.37
"295","Loss of smell","Country/region","Wales",17.39,13.28,21.51
"296","Loss of smell","Ethnic group","Non-white",21.36,16.63,26.09
"297","Loss of smell","Ethnic group","White",20.6,19.56,21.65
"298","Loss of smell","Index of Multiple Deprivation quintile group","1",22.52,19.62,25.42
"299","Loss of smell","Index of Multiple Deprivation quintile group","2",19.8,17.41,22.18
"300","Loss of smell","Index of Multiple Deprivation quintile group","3",20.51,18.33,22.68
"301","Loss of smell","Index of Multiple Deprivation quintile group","4",20.28,18.17,22.4
"302","Loss of smell","Index of Multiple Deprivation quintile group","5",20.68,18.62,22.75
"303","Loss of taste","All people","All people",18.25,17.28,19.22
"304","Loss of taste","Country/region","England",18.64,17.57,19.72
"305","Loss of taste","Country/region","North East",16.44,12.13,20.74
"306","Loss of taste","Country/region","North West",21.34,18.39,24.3
"307","Loss of taste","Country/region","Yorkshire and the Humber",15.5,12.44,18.57
"308","Loss of taste","Country/region","East Midlands",18.63,14.92,22.35
"309","Loss of taste","Country/region","West Midlands",18.57,15.1,22.05
"310","Loss of taste","Country/region","East of England",18.75,15.68,21.82
"311","Loss of taste","Country/region","London",18.46,15.66,21.26
"312","Loss of taste","Country/region","South East",18.21,15.4,21.01
"313","Loss of taste","Country/region","South West",20.08,16.51,23.65
"314","Loss of taste","Country/region","Northern Ireland",15.62,10.14,21.11
"315","Loss of taste","Country/region","Scotland",16.7,13.61,19.78
"316","Loss of taste","Country/region","Wales",16.15,12.15,20.15
"317","Loss of taste","Ethnic group","Non-white",13.22,9.1,17.34
"318","Loss of taste","Ethnic group","White",18.51,17.51,19.51
"319","Loss of taste","Index of Multiple Deprivation quintile group","1",19.09,16.39,21.8
"320","Loss of taste","Index of Multiple Deprivation quintile group","2",18.04,15.76,20.32
"321","Loss of taste","Index of Multiple Deprivation quintile group","3",17.98,15.92,20.04
"322","Loss of taste","Index of Multiple Deprivation quintile group","4",17.3,15.33,19.28
"323","Loss of taste","Index of Multiple Deprivation quintile group","5",19.11,17.09,21.13
"324","Low mood or not enjoying","All people","All people",27.95,26.81,29.08
"325","Low mood or not enjoying","Country/region","England",26.77,25.54,28.01
"326","Low mood or not enjoying","Country/region","North East",25.68,20.66,30.71
"327","Low mood or not enjoying","Country/region","North West",28.99,25.7,32.29
"328","Low mood or not enjoying","Country/region","Yorkshire and the Humber",28.36,24.54,32.17
"329","Low mood or not enjoying","Country/region","East Midlands",24.29,19.97,28.62
"330","Low mood or not enjoying","Country/region","West Midlands",26.78,22.65,30.92
"331","Low mood or not enjoying","Country/region","East of England",25.48,22,28.96
"332","Low mood or not enjoying","Country/region","London",27.36,24.13,30.58
"333","Low mood or not enjoying","Country/region","South East",25.27,22.09,28.46
"334","Low mood or not enjoying","Country/region","South West",27.44,23.52,31.35
"335","Low mood or not enjoying","Country/region","Northern Ireland",31.25,23.87,38.63
"336","Low mood or not enjoying","Country/region","Scotland",34.83,30.84,38.81
"337","Low mood or not enjoying","Country/region","Wales",32.92,27.71,38.12
"338","Low mood or not enjoying","Ethnic group","Non-white",29.83,24.6,35.07
"339","Low mood or not enjoying","Ethnic group","White",27.85,26.68,29.02
"340","Low mood or not enjoying","Index of Multiple Deprivation quintile group","1",36.84,33.55,40.14
"341","Low mood or not enjoying","Index of Multiple Deprivation quintile group","2",30.8,28.01,33.6
"342","Low mood or not enjoying","Index of Multiple Deprivation quintile group","3",27.12,24.71,29.53
"343","Low mood or not enjoying","Index of Multiple Deprivation quintile group","4",25.25,22.93,27.57
"344","Low mood or not enjoying","Index of Multiple Deprivation quintile group","5",24.23,22,26.46
"345","Memory loss or confusion","All people","All people",26.2,25.08,27.31
"346","Memory loss or confusion","Country/region","England",25.51,24.3,26.73
"347","Memory loss or confusion","Country/region","North East",27.05,21.86,32.25
"348","Memory loss or confusion","Country/region","North West",26.85,23.68,30.01
"349","Memory loss or confusion","Country/region","Yorkshire and the Humber",26.84,23.02,30.67
"350","Memory loss or confusion","Country/region","East Midlands",25.71,21.46,29.95
"351","Memory loss or confusion","Country/region","West Midlands",25.49,21.41,29.56
"352","Memory loss or confusion","Country/region","East of England",23.4,20.08,26.72
"353","Memory loss or confusion","Country/region","London",25.65,22.47,28.84
"354","Memory loss or confusion","Country/region","South East",24.59,21.43,27.75
"355","Memory loss or confusion","Country/region","South West",24.85,20.98,28.72
"356","Memory loss or confusion","Country/region","Northern Ireland",32.5,24.96,40.04
"357","Memory loss or confusion","Country/region","Scotland",30.34,26.57,34.11
"358","Memory loss or confusion","Country/region","Wales",26.71,21.78,31.64
"359","Memory loss or confusion","Ethnic group","Non-white",30.51,25.14,35.88
"360","Memory loss or confusion","Ethnic group","White",25.98,24.84,27.12
"361","Memory loss or confusion","Index of Multiple Deprivation quintile group","1",32.31,29.02,35.61
"362","Memory loss or confusion","Index of Multiple Deprivation quintile group","2",29.51,26.77,32.24
"363","Memory loss or confusion","Index of Multiple Deprivation quintile group","3",26.37,23.99,28.76
"364","Memory loss or confusion","Index of Multiple Deprivation quintile group","4",23.76,21.51,26.01
"365","Memory loss or confusion","Index of Multiple Deprivation quintile group","5",22.53,20.35,24.7
"366","Mobility","All people","All people",15.54,14.63,16.46
"367","Mobility","Country/region","England",14.37,13.4,15.34
"368","Mobility","Country/region","North East",17.12,12.62,21.63
"369","Mobility","Country/region","North West",14.77,12.17,17.36
"370","Mobility","Country/region","Yorkshire and the Humber",17.39,14.11,20.67
"371","Mobility","Country/region","East Midlands",13.68,10.41,16.95
"372","Mobility","Country/region","West Midlands",14.25,11.06,17.45
"373","Mobility","Country/region","East of England",15.54,12.71,18.38
"374","Mobility","Country/region","London",13.22,10.81,15.63
"375","Mobility","Country/region","South East",12.09,9.71,14.48
"376","Mobility","Country/region","South West",13.32,10.35,16.29
"377","Mobility","Country/region","Northern Ireland",13.12,7.95,18.3
"378","Mobility","Country/region","Scotland",21.9,18.4,25.41
"379","Mobility","Country/region","Wales",24.22,19.42,29.03
"380","Mobility","Ethnic group","Non-white",13.56,9.62,17.5
"381","Mobility","Ethnic group","White",15.64,14.7,16.58
"382","Mobility","Index of Multiple Deprivation quintile group","1",23.87,20.86,26.87
"383","Mobility","Index of Multiple Deprivation quintile group","2",18.32,15.98,20.65
"384","Mobility","Index of Multiple Deprivation quintile group","3",15.08,13.16,17.01
"385","Mobility","Index of Multiple Deprivation quintile group","4",12.84,11.06,14.61
"386","Mobility","Index of Multiple Deprivation quintile group","5",11.88,10.22,13.54
"387","Muscle ache","All people","All people",41.9,40.65,43.16
"388","Muscle ache","Country/region","England",40.65,39.28,42.02
"389","Muscle ache","Country/region","North East",40.07,34.33,45.8
"390","Muscle ache","Country/region","North West",39.6,35.97,43.22
"391","Muscle ache","Country/region","Yorkshire and the Humber",44.05,39.77,48.32
"392","Muscle ache","Country/region","East Midlands",39.15,34.4,43.9
"393","Muscle ache","Country/region","West Midlands",41.25,36.67,45.84
"394","Muscle ache","Country/region","East of England",42.31,38.37,46.25
"395","Muscle ache","Country/region","London",40.84,37.3,44.37
"396","Muscle ache","Country/region","South East",36.96,33.42,40.49
"397","Muscle ache","Country/region","South West",42.74,38.41,47.08
"398","Muscle ache","Country/region","Northern Ireland",45.62,37.95,53.3
"399","Muscle ache","Country/region","Scotland",49.01,44.81,53.22
"400","Muscle ache","Country/region","Wales",47.52,41.88,53.15
"401","Muscle ache","Ethnic group","Non-white",45.76,40.07,51.46
"402","Muscle ache","Ethnic group","White",41.71,40.42,42.99
"403","Muscle ache","Index of Multiple Deprivation quintile group","1",48.84,45.31,52.36
"404","Muscle ache","Index of Multiple Deprivation quintile group","2",47.83,44.77,50.89
"405","Muscle ache","Index of Multiple Deprivation quintile group","3",40.94,38.29,43.58
"406","Muscle ache","Index of Multiple Deprivation quintile group","4",39.57,36.97,42.18
"407","Muscle ache","Index of Multiple Deprivation quintile group","5",36.79,34.3,39.28
"408","Nasal congestion","All people","All people",22.26,21.21,23.31
"409","Nasal congestion","Country/region","England",21.26,20.13,22.39
"410","Nasal congestion","Country/region","North East",18.84,14.32,23.35
"411","Nasal congestion","Country/region","North West",24.03,20.95,27.1
"412","Nasal congestion","Country/region","Yorkshire and the Humber",21.17,17.61,24.73
"413","Nasal congestion","Country/region","East Midlands",23.35,19.31,27.39
"414","Nasal congestion","Country/region","West Midlands",20.95,17.2,24.7
"415","Nasal congestion","Country/region","East of England",20.83,17.69,23.97
"416","Nasal congestion","Country/region","London",20.81,17.94,23.69
