"date","rank","song","artist","weeks-on-board"
2020-03-28,1,"The Box","Roddy Ricch",15
2020-03-21,1,"The Box","Roddy Ricch",14
2020-03-14,1,"The Box","Roddy Ricch",13
2020-03-07,1,"The Box","Roddy Ricch",12
2020-02-29,1,"The Box","Roddy Ricch",11
2020-02-22,1,"The Box","Roddy Ricch",10
2020-02-15,1,"The Box","Roddy Ricch",9
2020-02-08,1,"The Box","Roddy Ricch",8
2020-02-01,1,"The Box","Roddy Ricch",7
2020-01-25,1,"The Box","Roddy Ricch",6
2020-01-18,1,"The Box","Roddy Ricch",5
2020-01-11,1,"Circles","Post Malone",18
2020-01-04,1,"All I Want For Christmas Is You","Mariah Carey",37
2019-12-28,1,"All I Want For Christmas Is You","Mariah Carey",36
2019-12-21,1,"All I Want For Christmas Is You","Mariah Carey",35
2019-12-14,1,"Heartless","The Weeknd",2
2019-12-07,1,"Circles","Post Malone",13
2019-11-30,1,"Circles","Post Malone",12
2019-11-23,1,"Someone You Loved","Lewis Capaldi",27
2019-11-16,1,"Someone You Loved","Lewis Capaldi",26
2019-11-09,1,"Lose You To Love Me","Selena Gomez",2
2019-11-02,1,"Someone You Loved","Lewis Capaldi",24
2019-10-26,1,"Truth Hurts","Lizzo",24
2019-10-19,1,"HIGHEST IN THE ROOM","Travis Scott",1
2019-10-12,1,"Truth Hurts","Lizzo",22
2019-10-05,1,"Truth Hurts","Lizzo",21
2019-09-28,1,"Truth Hurts","Lizzo",20
2019-09-21,1,"Truth Hurts","Lizzo",19
2019-09-14,1,"Truth Hurts","Lizzo",18
2019-09-07,1,"Truth Hurts","Lizzo",17
2019-08-31,1,"Senorita","Shawn Mendes & Camila Cabello",9
2019-08-24,1,"Bad Guy","Billie Eilish",20
2019-08-17,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",23
2019-08-10,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",22
2019-08-03,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",21
2019-07-27,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",20
2019-07-20,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",19
2019-07-13,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",18
2019-07-06,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",17
2019-06-29,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",16
2019-06-22,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",15
2019-06-15,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",14
2019-06-08,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",13
2019-06-01,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",12
2019-05-25,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",11
2019-05-18,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",10
2019-05-11,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",9
2019-05-04,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",8
2019-04-27,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",7
2019-04-20,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",6
2019-04-13,1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",5
2019-04-06,1,"7 Rings","Ariana Grande",10
2019-03-30,1,"7 Rings","Ariana Grande",9
2019-03-23,1,"7 Rings","Ariana Grande",8
2019-03-16,1,"Sucker","Jonas Brothers",1
2019-03-09,1,"Shallow","Lady Gaga & Bradley Cooper",22
2019-03-02,1,"7 Rings","Ariana Grande",5
2019-02-23,1,"7 Rings","Ariana Grande",4
2019-02-16,1,"7 Rings","Ariana Grande",3
2019-02-09,1,"7 Rings","Ariana Grande",2
2019-02-02,1,"7 Rings","Ariana Grande",1
2019-01-26,1,"Without Me","Halsey",15
2019-01-19,1,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee",12
2019-01-12,1,"Without Me","Halsey",13
2019-01-05,1,"Thank U, Next","Ariana Grande",8
2018-12-29,1,"Thank U, Next","Ariana Grande",7
2018-12-22,1,"Thank U, Next","Ariana Grande",6
2018-12-15,1,"Thank U, Next","Ariana Grande",5
2018-12-08,1,"Sicko Mode","Travis Scott",17
2018-12-01,1,"Thank U, Next","Ariana Grande",3
2018-11-24,1,"Thank U, Next","Ariana Grande",2
2018-11-17,1,"Thank U, Next","Ariana Grande",1
2018-11-10,1,"Girls Like You","Maroon 5 Featuring Cardi B",23
2018-11-03,1,"Girls Like You","Maroon 5 Featuring Cardi B",22
2018-10-27,1,"Girls Like You","Maroon 5 Featuring Cardi B",21
2018-10-20,1,"Girls Like You","Maroon 5 Featuring Cardi B",20
2018-10-13,1,"Girls Like You","Maroon 5 Featuring Cardi B",19
2018-10-06,1,"Girls Like You","Maroon 5 Featuring Cardi B",18
2018-09-29,1,"Girls Like You","Maroon 5 Featuring Cardi B",17
2018-09-22,1,"In My Feelings","Drake",11
2018-09-15,1,"In My Feelings","Drake",10
2018-09-08,1,"In My Feelings","Drake",9
2018-09-01,1,"In My Feelings","Drake",8
2018-08-25,1,"In My Feelings","Drake",7
2018-08-18,1,"In My Feelings","Drake",6
2018-08-11,1,"In My Feelings","Drake",5
2018-08-04,1,"In My Feelings","Drake",4
2018-07-28,1,"In My Feelings","Drake",3
2018-07-21,1,"In My Feelings","Drake",2
2018-07-14,1,"Nice For What","Drake",13
2018-07-07,1,"I Like It","Cardi B, Bad Bunny & J Balvin",12
2018-06-30,1,"Sad!","XXXTENTACION",16
2018-06-23,1,"Nice For What","Drake",10
2018-06-16,1,"Psycho","Post Malone Featuring Ty Dolla $ign",15
2018-06-09,1,"Nice For What","Drake",8
2018-06-02,1,"Nice For What","Drake",7
2018-05-26,1,"This Is America","Childish Gambino",2
2018-05-19,1,"This Is America","Childish Gambino",1
2018-05-12,1,"Nice For What","Drake",4
2018-05-05,1,"Nice For What","Drake",3
2018-04-28,1,"Nice For What","Drake",2
2018-04-21,1,"Nice For What","Drake",1
2018-04-14,1,"God's Plan","Drake",11
2018-04-07,1,"God's Plan","Drake",10
2018-03-31,1,"God's Plan","Drake",9
2018-03-24,1,"God's Plan","Drake",8
2018-03-17,1,"God's Plan","Drake",7
2018-03-10,1,"God's Plan","Drake",6
2018-03-03,1,"God's Plan","Drake",5
2018-02-24,1,"God's Plan","Drake",4
2018-02-17,1,"God's Plan","Drake",3
2018-02-10,1,"God's Plan","Drake",2
2018-02-03,1,"God's Plan","Drake",1
2018-01-27,1,"Havana","Camila Cabello Featuring Young Thug",23
2018-01-20,1,"Perfect","Ed Sheeran",20
2018-01-13,1,"Perfect","Ed Sheeran",19
2018-01-06,1,"Perfect","Ed Sheeran",18
2017-12-30,1,"Perfect","Ed Sheeran",16
2017-12-23,1,"Perfect","Ed Sheeran",15
2017-12-16,1,"Rockstar","Post Malone Featuring 21 Savage",11
2017-12-09,1,"Rockstar","Post Malone Featuring 21 Savage",10
2017-12-02,1,"Rockstar","Post Malone Featuring 21 Savage",9
2017-11-25,1,"Rockstar","Post Malone Featuring 21 Savage",8
2017-11-18,1,"Rockstar","Post Malone Featuring 21 Savage",7
2017-11-11,1,"Rockstar","Post Malone Featuring 21 Savage",6
2017-11-04,1,"Rockstar","Post Malone Featuring 21 Savage",5
2017-10-28,1,"Rockstar","Post Malone Featuring 21 Savage",4
2017-10-21,1,"Bodak Yellow (Money Moves)","Cardi B",14
2017-10-14,1,"Bodak Yellow (Money Moves)","Cardi B",13
2017-10-07,1,"Bodak Yellow (Money Moves)","Cardi B",12
2017-09-30,1,"Look What You Made Me Do","Taylor Swift",4
2017-09-23,1,"Look What You Made Me Do","Taylor Swift",3
2017-09-16,1,"Look What You Made Me Do","Taylor Swift",2
2017-09-09,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",32
2017-09-02,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",31
2017-08-26,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",30
2017-08-19,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",29
2017-08-12,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",28
2017-08-05,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",27
2017-07-29,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",26
2017-07-22,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",25
2017-07-15,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",24
2017-07-08,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",23
2017-07-01,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",22
2017-06-24,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",21
2017-06-17,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",20
2017-06-10,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",19
2017-06-03,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",18
2017-05-27,1,"Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber",17
2017-05-20,1,"I'm The One","DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1
2017-05-13,1,"That's What I Like","Bruno Mars",15
2017-05-06,1,"Humble.","Kendrick Lamar",3
2017-04-29,1,"Shape Of You","Ed Sheeran",14
2017-04-22,1,"Shape Of You","Ed Sheeran",13
2017-04-15,1,"Shape Of You","Ed Sheeran",12
2017-04-08,1,"Shape Of You","Ed Sheeran",11
2017-04-01,1,"Shape Of You","Ed Sheeran",10
2017-03-25,1,"Shape Of You","Ed Sheeran",9
2017-03-18,1,"Shape Of You","Ed Sheeran",8
2017-03-11,1,"Shape Of You","Ed Sheeran",7
2017-03-04,1,"Shape Of You","Ed Sheeran",6
2017-02-25,1,"Shape Of You","Ed Sheeran",5
2017-02-18,1,"Shape Of You","Ed Sheeran",4
2017-02-11,1,"Bad And Boujee","Migos Featuring Lil Uzi Vert",11
2017-02-04,1,"Bad And Boujee","Migos Featuring Lil Uzi Vert",10
2017-01-28,1,"Shape Of You","Ed Sheeran",1
2017-01-21,1,"Bad And Boujee","Migos Featuring Lil Uzi Vert",8
2017-01-14,1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",16
2017-01-07,1,"Starboy","The Weeknd Featuring Daft Punk",14
2016-12-31,1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",14
2016-12-24,1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",13
2016-12-17,1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",12
2016-12-10,1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",11
2016-12-03,1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",10
2016-11-26,1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",9
2016-11-19,1,"Closer","The Chainsmokers Featuring Halsey",14
2016-11-12,1,"Closer","The Chainsmokers Featuring Halsey",13
2016-11-05,1,"Closer","The Chainsmokers Featuring Halsey",12
2016-10-29,1,"Closer","The Chainsmokers Featuring Halsey",11
2016-10-22,1,"Closer","The Chainsmokers Featuring Halsey",10
2016-10-15,1,"Closer","The Chainsmokers Featuring Halsey",9
2016-10-08,1,"Closer","The Chainsmokers Featuring Halsey",8
2016-10-01,1,"Closer","The Chainsmokers Featuring Halsey",7
2016-09-24,1,"Closer","The Chainsmokers Featuring Halsey",6
2016-09-17,1,"Closer","The Chainsmokers Featuring Halsey",5
2016-09-10,1,"Closer","The Chainsmokers Featuring Halsey",4
2016-09-03,1,"Closer","The Chainsmokers Featuring Halsey",3
2016-08-27,1,"Cheap Thrills","Sia Featuring Sean Paul",26
2016-08-20,1,"Cheap Thrills","Sia Featuring Sean Paul",25
2016-08-13,1,"Cheap Thrills","Sia Featuring Sean Paul",24
2016-08-06,1,"Cheap Thrills","Sia Featuring Sean Paul",23
2016-07-30,1,"One Dance","Drake Featuring WizKid & Kyla",15
2016-07-23,1,"One Dance","Drake Featuring WizKid & Kyla",14
2016-07-16,1,"One Dance","Drake Featuring WizKid & Kyla",13
2016-07-09,1,"One Dance","Drake Featuring WizKid & Kyla",12
2016-07-02,1,"One Dance","Drake Featuring WizKid & Kyla",11
2016-06-25,1,"One Dance","Drake Featuring WizKid & Kyla",10
2016-06-18,1,"One Dance","Drake Featuring WizKid & Kyla",9
2016-06-11,1,"One Dance","Drake Featuring WizKid & Kyla",8
2016-06-04,1,"One Dance","Drake Featuring WizKid & Kyla",7
2016-05-28,1,"Can't Stop The Feeling!","Justin Timberlake",1
2016-05-21,1,"One Dance","Drake Featuring WizKid & Kyla",5
2016-05-14,1,"Panda","Desiigner",10
2016-05-07,1,"Panda","Desiigner",9
2016-04-30,1,"Work","Rihanna Featuring Drake",12
2016-04-23,1,"Work","Rihanna Featuring Drake",11
2016-04-16,1,"Work","Rihanna Featuring Drake",10
2016-04-09,1,"Work","Rihanna Featuring Drake",9
2016-04-02,1,"Work","Rihanna Featuring Drake",8
2016-03-26,1,"Work","Rihanna Featuring Drake",7
2016-03-19,1,"Work","Rihanna Featuring Drake",6
2016-03-12,1,"Work","Rihanna Featuring Drake",5
2016-03-05,1,"Work","Rihanna Featuring Drake",4
2016-02-27,1,"Love Yourself","Justin Bieber",13
2016-02-20,1,"Pillowtalk","Zayn",1
2016-02-13,1,"Love Yourself","Justin Bieber",11
2016-02-06,1,"Sorry","Justin Bieber",13
2016-01-30,1,"Sorry","Justin Bieber",12
2016-01-23,1,"Sorry","Justin Bieber",11
2016-01-16,1,"Hello","Adele",10
2016-01-09,1,"Hello","Adele",9
2016-01-02,1,"Hello","Adele",8
2015-12-26,1,"Hello","Adele",7
2015-12-19,1,"Hello","Adele",6
2015-12-12,1,"Hello","Adele",5
2015-12-05,1,"Hello","Adele",4
2015-11-28,1,"Hello","Adele",3
2015-11-21,1,"Hello","Adele",2
2015-11-14,1,"Hello","Adele",1
2015-11-07,1,"The Hills","The Weeknd",22
2015-10-31,1,"The Hills","The Weeknd",21
2015-10-24,1,"The Hills","The Weeknd",20
2015-10-17,1,"The Hills","The Weeknd",19
2015-10-10,1,"The Hills","The Weeknd",18
2015-10-03,1,"The Hills","The Weeknd",17
2015-09-26,1,"Can't Feel My Face","The Weeknd",14
2015-09-19,1,"What Do You Mean?","Justin Bieber",1
2015-09-12,1,"Can't Feel My Face","The Weeknd",12
2015-09-05,1,"Cheerleader","OMI",18
2015-08-29,1,"Cheerleader","OMI",17
2015-08-22,1,"Can't Feel My Face","The Weeknd",9
2015-08-15,1,"Cheerleader","OMI",15
2015-08-08,1,"Cheerleader","OMI",14
2015-08-01,1,"Cheerleader","OMI",13
2015-07-25,1,"Cheerleader","OMI",12
2015-07-18,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",17
2015-07-11,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",16
2015-07-04,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",15
2015-06-27,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",14
2015-06-20,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",13
2015-06-13,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",12
2015-06-06,1,"Bad Blood","Taylor Swift Featuring Kendrick Lamar",4
2015-05-30,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",10
2015-05-23,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",9
2015-05-16,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",8
2015-05-09,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",7
2015-05-02,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",6
2015-04-25,1,"See You Again","Wiz Khalifa Featuring Charlie Puth",5
2015-04-18,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",21
2015-04-11,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",20
2015-04-04,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",19
2015-03-28,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",18
2015-03-21,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",17
2015-03-14,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",16
2015-03-07,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",15
2015-02-28,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",14
2015-02-21,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",13
2015-02-14,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",12
2015-02-07,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",11
2015-01-31,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",10
2015-01-24,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",9
2015-01-17,1,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",8
2015-01-10,1,"Blank Space","Taylor Swift",9
2015-01-03,1,"Blank Space","Taylor Swift",8
2014-12-27,1,"Blank Space","Taylor Swift",7
2014-12-20,1,"Blank Space","Taylor Swift",6
2014-12-13,1,"Blank Space","Taylor Swift",5
2014-12-06,1,"Blank Space","Taylor Swift",4
2014-11-29,1,"Blank Space","Taylor Swift",3
2014-11-22,1,"Shake It Off","Taylor Swift",12
2014-11-15,1,"Shake It Off","Taylor Swift",11
2014-11-08,1,"All About That Bass","Meghan Trainor",16
2014-11-01,1,"All About That Bass","Meghan Trainor",15
2014-10-25,1,"All About That Bass","Meghan Trainor",14
2014-10-18,1,"All About That Bass","Meghan Trainor",13
2014-10-11,1,"All About That Bass","Meghan Trainor",12
2014-10-04,1,"All About That Bass","Meghan Trainor",11
2014-09-27,1,"All About That Bass","Meghan Trainor",10
2014-09-20,1,"All About That Bass","Meghan Trainor",9
2014-09-13,1,"Shake It Off","Taylor Swift",2
2014-09-06,1,"Shake It Off","Taylor Swift",1
2014-08-30,1,"Rude","MAGIC!",17
2014-08-23,1,"Rude","MAGIC!",16
2014-08-16,1,"Rude","MAGIC!",15
2014-08-09,1,"Rude","MAGIC!",14
2014-08-02,1,"Rude","MAGIC!",13
2014-07-26,1,"Rude","MAGIC!",12
2014-07-19,1,"Fancy","Iggy Azalea Featuring Charli XCX",18
2014-07-12,1,"Fancy","Iggy Azalea Featuring Charli XCX",17
2014-07-05,1,"Fancy","Iggy Azalea Featuring Charli XCX",16
2014-06-28,1,"Fancy","Iggy Azalea Featuring Charli XCX",15
2014-06-21,1,"Fancy","Iggy Azalea Featuring Charli XCX",14
2014-06-14,1,"Fancy","Iggy Azalea Featuring Charli XCX",13
2014-06-07,1,"Fancy","Iggy Azalea Featuring Charli XCX",12
2014-05-31,1,"All Of Me","John Legend",32
2014-05-24,1,"All Of Me","John Legend",31
2014-05-17,1,"All Of Me","John Legend",30
2014-05-10,1,"Happy","Pharrell Williams",17
2014-05-03,1,"Happy","Pharrell Williams",16
2014-04-26,1,"Happy","Pharrell Williams",15
2014-04-19,1,"Happy","Pharrell Williams",14
2014-04-12,1,"Happy","Pharrell Williams",13
2014-04-05,1,"Happy","Pharrell Williams",12
2014-03-29,1,"Happy","Pharrell Williams",11
2014-03-22,1,"Happy","Pharrell Williams",10
2014-03-15,1,"Happy","Pharrell Williams",9
2014-03-08,1,"Happy","Pharrell Williams",8
2014-03-01,1,"Dark Horse","Katy Perry Featuring Juicy J",22
2014-02-22,1,"Dark Horse","Katy Perry Featuring Juicy J",21
2014-02-15,1,"Dark Horse","Katy Perry Featuring Juicy J",20
2014-02-08,1,"Dark Horse","Katy Perry Featuring Juicy J",19
2014-02-01,1,"Timber","Pitbull Featuring Ke$ha",15
2014-01-25,1,"Timber","Pitbull Featuring Ke$ha",14
2014-01-18,1,"Timber","Pitbull Featuring Ke$ha",13
2014-01-11,1,"The Monster","Eminem Featuring Rihanna",9
2014-01-04,1,"The Monster","Eminem Featuring Rihanna",8
2013-12-28,1,"The Monster","Eminem Featuring Rihanna",7
2013-12-21,1,"The Monster","Eminem Featuring Rihanna",6
2013-12-14,1,"Wrecking Ball","Miley Cyrus",15
2013-12-07,1,"Royals","Lorde",21
2013-11-30,1,"Royals","Lorde",20
2013-11-23,1,"Royals","Lorde",19
2013-11-16,1,"Royals","Lorde",18
2013-11-09,1,"Royals","Lorde",17
2013-11-02,1,"Royals","Lorde",16
2013-10-26,1,"Royals","Lorde",15
2013-10-19,1,"Royals","Lorde",14
2013-10-12,1,"Royals","Lorde",13
2013-10-05,1,"Wrecking Ball","Miley Cyrus",5
2013-09-28,1,"Wrecking Ball","Miley Cyrus",4
2013-09-21,1,"Roar","Katy Perry",5
2013-09-14,1,"Roar","Katy Perry",4
2013-09-07,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",19
2013-08-31,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",18
2013-08-24,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",17
2013-08-17,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",16
2013-08-10,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",15
2013-08-03,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",14
2013-07-27,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",13
2013-07-20,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",12
2013-07-13,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",11
2013-07-06,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",10
2013-06-29,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",9
2013-06-22,1,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",8
2013-06-15,1,"Can't Hold Us","Macklemore & Ryan Lewis Featuring Ray Dalton",17
2013-06-08,1,"Can't Hold Us","Macklemore & Ryan Lewis Featuring Ray Dalton",16
2013-06-01,1,"Can't Hold Us","Macklemore & Ryan Lewis Featuring Ray Dalton",15
2013-05-25,1,"Can't Hold Us","Macklemore & Ryan Lewis Featuring Ray Dalton",14
2013-05-18,1,"Can't Hold Us","Macklemore & Ryan Lewis Featuring Ray Dalton",13
2013-05-11,1,"Just Give Me A Reason","P!nk Featuring Nate Ruess",11
2013-05-04,1,"Just Give Me A Reason","P!nk Featuring Nate Ruess",10
2013-04-27,1,"Just Give Me A Reason","P!nk Featuring Nate Ruess",9
2013-04-20,1,"When I Was Your Man","Bruno Mars",16
2013-04-13,1,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",26
2013-04-06,1,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",25
