"date","rank","song","artist","weeks-on-board"
2003-11-15,1,"Baby Boy","beyonce",14
2003-11-08,1,"Baby Boy","beyonce",13
2003-11-01,1,"Baby Boy","beyonce",12
2003-10-25,1,"Baby Boy","beyonce",11
2003-10-18,1,"Baby Boy","beyonce",10
2003-10-11,1,"Baby Boy","beyonce",9
2003-10-04,1,"Baby Boy","beyonce",8
2003-08-30,1,"Crazy In Love","beyonce",15
2003-08-23,1,"Crazy In Love","beyonce",14
2003-08-16,1,"Crazy In Love","beyonce",13
2003-08-09,1,"Crazy In Love","beyonce",12
2003-08-02,1,"Crazy In Love","beyonce",11
2003-07-26,1,"Crazy In Love","beyonce",10
2003-07-19,1,"Crazy In Love","beyonce",9
2003-07-12,1,"Crazy In Love","beyonce",8
